,cod_semana,total_valor,total_volumen,total_unidades
0,1,144420.5800000001,69258.85000000002,186955.63999999958
1,2,167074.63999999993,83033.13000000009,214546.87578000003
2,3,192272.75409999955,98957.32000000007,232709.9162199998
3,4,200692.95925000004,101328.32999999991,263185.49781000015
4,5,197919.96000000008,99247.32999999983,275565.63430000015
5,6,218002.5400000001,139282.8399999997,397611.73897999927
6,7,171594.17999999985,82495.13999999974,223607.56999999948
7,8,162550.46999999974,72419.13999999994,190183.02999999988
8,9,156051.01000000004,67145.9600000001,184133.31000000008
9,10,149272.64000000004,67002.78999999998,181318.96000000014
10,11,143785.32000000007,64137.980000000054,174642.99000000002
11,12,158869.07999999993,72225.46999999996,196825.3299999997
12,13,159516.3499999998,74576.77999999987,199706.75999999992
13,14,153935.17000000004,70177.00999999998,185015.99999999994
14,15,157801.0099999999,70180.32999999996,188541.01999999973
15,16,162785.87999999992,76343.95999999993,212239.67000000007
16,17,170130.8099999999,80960.9200000002,220876.76999999984
17,18,163042.70999999985,73395.02000000016,199977.3299999999
18,19,166340.53000000003,73648.79999999981,196456.9399999998
19,20,175067.9899999998,82227.3299999999,220121.23498000024
20,21,177278.20999999982,84619.95999999989,229026.81132000018
21,22,167582.6699999997,77824.95999999996,206332.62
22,23,165479.49999999977,73907.96999999981,195197.1
23,24,164133.63000000003,72876.96999999991,195395.5600000002
24,25,157072.2299999999,69516.24999999984,181498.71999999997
25,26,154116.63000000006,71894.21999999996,199648.1999999997
26,27,169707.31999999972,80528.19999999997,218846.09999999986
27,28,170533.4299999998,80595.13999999997,215883.0499999998
28,29,160552.96000000005,77384.23999999983,204928.53874999986
29,30,161339.06000000006,77700.82999999996,192404.60283999972
30,31,146577.95000000004,66154.6199999999,178635.71999999986
31,32,148411.79000000018,64085.47999999985,170339.86000000013
32,33,157106.52000000014,68102.65999999997,179973.09
33,34,147182.1100000001,64085.350000000064,164916.41999999993
34,35,151612.5700000001,68902.7199999999,181730.98999999993
35,36,177548.71000000005,83396.63000000003,214489.5554999997
36,37,160595.06999999992,79338.09999999996,212992.81000000014
37,38,170642.89999999982,81103.76999999984,222660.4999999998
38,39,162426.01999999987,77600.24000000002,211033.2500000001
39,40,183421.97999999995,86851.91999999981,236505.33
40,41,171768.14999999985,79978.40999999989,210345.88999999996
41,42,151890.3199999999,67626.35999999999,172708.23999999985
42,43,174508.51999999984,76616.69999999987,195727.08999999988
43,44,166489.98000000004,77229.31000000013,198078.39000000007
44,45,175071.0299999994,79556.93999999996,201360.82999999975
45,46,189703.36999999994,88730.36000000009,215696.68
46,47,177753.65000000026,77732.95999999988,183319.88999999987
47,48,228752.0900000001,97528.95999999985,216276.72000000006
48,49,191291.2699999999,83485.87999999995,186675.3999999999
49,50,138143.57000000012,59635.02999999999,146892.9700000002
50,51,128758.06999999973,55886.20000000004,142048.81999999992
51,52,138553.64000000016,62383.829999999994,165053.95000000024
52,53,130206.76000000007,57975.72000000002,151577.49
53,54,152909.2499999998,68060.33,171330.88999999996
54,55,162381.2299999999,75557.09999999995,199170.7499999996
55,56,174945.95000000016,82377.50999999995,209181.7300000001
56,57,170859.75999999995,81662.61999999998,219614.3800000002
57,58,170828.45000000013,81895.26999999989,211601.68712000016
58,59,188288.74000000005,90063.58999999998,238074.26000000013
59,60,189518.18000000025,92344.20999999985,241958.50149000002
60,61,180765.88000000018,87502.48999999996,223766.74158000012
61,62,165934.09000000032,79656.82000000002,210754.46999999977
62,63,168005.08000000028,76883.33000000005,199519.42999999996
63,64,169826.9999999996,76572.01,195992.4100000001
64,65,170249.86999999988,77127.71999999994,196320.66999999998
65,66,183385.39000000036,85463.55999999992,221156.58000000007
66,67,166585.1400000002,77631.38999999998,204132.94000000006
67,68,189381.26000000045,93636.86000000013,245542.18890000015
68,69,205125.07000000018,104275.89999999998,272869.81023999996
69,70,194991.1100000001,93766.06000000007,243449.45336000004
70,71,220594.8299999998,103512.75000000003,265428.33999999985
71,72,193492.53000000006,92998.12999999999,246268.64999999988
72,73,230929.30593999982,120747.59999999998,319269.14749999985
73,74,218569.7200000001,113021.51000000023,297597.40443000046
74,75,193971.28000000055,97218.37000000013,250844.4817800001
75,76,171336.75999999998,80728.19999999992,212034.18
76,77,182369.96999999997,85400.51999999999,217433.00000000015
77,78,162372.5900000001,73316.29999999999,186154.39999999994
78,79,198676.71,96090.12999999993,249415.64325000008
79,80,206273.0200000003,100984.76999999997,272368.3974899997
80,81,174637.4200000001,85588.66,229598.99000000028
81,82,178432.25999999978,88467.77999999996,224095.17357999997
82,83,202910.41000000006,107243.86999999997,285487.73745999957
83,84,214613.44000000012,118092.23000000003,328210.0899999996
84,85,195080.33,103852.22999999991,272828.4604600005
85,86,216746.09000000008,116328.80999999995,317636.61000000034
86,87,170747.1900000001,88700.27999999998,244179.65999999986
87,88,176341.08,91590.95999999992,244552.97999999963
88,89,168007.58000000013,85600.71000000006,229103.39999999988
89,90,191377.8100000002,100145.84999999998,268718.71768000006
90,91,190506.67999999996,98679.84999999993,265539.98340000014
91,92,184592.17999999985,101386.26000000007,270454.07914000016
92,93,202462.19999999992,107101.18999999994,275636.8152099999
93,94,153699.07000000015,74432.69000000002,205623.3488500001
94,95,165083.99999999985,78800.37999999996,212447.28999999995
95,96,156252.25999999995,77327.57999999999,216996.96000000005
96,97,170298.71999999994,87061.10000000011,230097.9900000002
97,98,161915.65000000014,81231.81,225356.89
98,99,177340.55999999985,87722.46999999999,226064.31720000014
99,100,248728.1300000001,119921.75999999975,294828.0883300005
100,101,192013.99000000014,90541.9800000001,228360.27000000022
101,102,113810.57999999989,52943.6900000001,144468.67999999996
102,103,145984.05999999997,65977.15,173673.4899999998
103,104,138145.5000000001,64560.62999999998,167239.2000000001
104,105,140318.28000000003,64852.220000000016,172367.94000000003
105,106,157352.28,72078.4199999999,186865.77
106,107,148718.1699999999,66759.03000000003,181560.96999999977
107,108,156993.34999999974,71342.76999999993,189542.13999999996
108,109,168448.30999999974,81285.54999999996,216990.57000000015
109,110,171778.62000000005,83991.79000000004,229190.06999999977
110,111,171477.34,82475.24999999993,219314.92596999984
111,112,182304.60000000006,88001.94999999994,242217.8699999999
112,113,175080.1600000001,83773.08999999987,220894.99783999968
113,114,169113.78000000014,77665.04000000004,208576.9099999999
114,115,175156.19,85308.48999999985,220400.84999999963
115,116,169852.42999999985,82995.89000000009,212969.2399999999
116,117,192759.70999999993,94446.53000000009,249375.4299999997
117,118,195435.34000000003,95164.68999999996,249595.95000000016
118,119,187729.7,88195.47999999982,236163.48000000004
119,120,188809.3699999999,88039.19999999987,236592.09999999954
120,121,193771.68999999992,92285.27999999993,254320.8199999999
121,122,203896.38999999984,97640.27999999991,264228.9900000002
122,123,179996.7599999999,89038.87999999986,242412.62999999977
123,124,189080.44000000026,95118.20000000013,259494.44999999987
124,125,206423.0800000001,107492.80000000003,298600.72000000015
125,126,215830.26999999996,109519.8300000001,294760.3316000003
126,127,196758.17999999996,93822.55999999992,252924.64999999982
127,128,184424.29000000027,87689.3000000002,230488.66799999995
128,129,179421.43999999974,84910.29999999996,224532.0599999999
129,130,165104.28000000003,76659.65999999996,209293.56
130,131,183629.21000000014,87623.87000000002,244760.38999999996
131,132,215492.61000000004,106247.10999999996,296356.57000000007
132,133,207492.50999999995,108017.12999999987,290098.11407999985
133,134,220630.32999999984,119715.28999999992,319128.97111999977
134,135,205122.47999999963,113874.29000000008,317283.64999999997
135,136,232515.27000000014,131207.88,367463.94540000026
136,137,199255.95999999967,110139.37999999987,308243.2931300001
137,138,211783.08999999988,113603.72999999986,320289.7600000007
138,139,215941.7400000001,118099.41000000002,336444.08859999984
139,140,179979.55999999994,86699.3500000001,242236.31999999977
