,cod_semana,total_valor,total_volumen,total_unidades
0,1,728029.9457499993,384720.16999999946,619106.7688999997
1,2,696249.1199200001,352330.45128000004,601982.3297599987
2,3,764228.4434399989,409431.7493600002,637353.2770399973
3,4,740263.6067800008,397068.3858699996,600324.6100000009
4,5,767101.8447500006,415521.6051999999,702756.2278000022
5,6,783860.1375000001,418037.4522999998,736944.5328500003
6,7,772914.1698699986,420537.18999999895,719013.9013000006
7,8,822804.1109600004,452114.13000000047,800265.4699999993
8,9,782791.0570399993,426155.20000000054,706241.4499999998
9,10,820201.2616399992,430795.14580000046,720325.5288499981
10,11,718997.8500600007,364383.5831699994,567993.2989199985
11,12,798584.1873899986,466387.44855999964,641863.5699999995
12,13,709529.0546200018,386809.57050000015,570380.4899999995
13,14,836828.2824299999,446679.54170000006,682735.5658699996
14,15,820739.8495199995,429651.91719999985,670438.4116199993
15,16,804254.8478199997,444339.65270000044,659952.010000002
16,17,819499.8061399997,455162.59129999985,670253.4726199997
17,18,1078239.2810199994,579190.5229199989,845223.7430700002
18,19,903318.2658000002,499472.15201000014,771912.844650002
19,20,1001289.7088199991,549901.9675500004,814599.1584500013
20,21,939458.994039999,528223.0141399999,747031.3299999996
21,22,1023484.1446900014,561141.1502299998,818884.9500000022
22,23,1011355.2292099998,578942.5979299999,837284.16677
23,24,971984.2733599988,528380.9696300004,786547.5914700029
24,25,956911.0993699983,511334.33378000086,748690.4115300011
25,26,995263.8372300003,516679.5675599999,807341.6630800012
26,27,960674.199040001,518968.80060000054,755714.710559999
27,28,1185132.7034100015,639773.1045600005,957254.3556599987
28,29,1179644.6478899994,684524.8723999993,957848.6623899996
29,30,978829.3304900023,549429.5925899995,875838.2300000023
30,31,1030831.4182699985,582314.1670500003,976694.2800000013
31,32,942298.36225,514258.19000000117,829999.1000000001
32,33,893372.1214899997,466312.81000000035,730160.6900000004
33,34,798653.9666200004,440537.01200000057,684983.560000001
34,35,714348.0088799997,389651.75000000006,624707.0800000007
35,36,841909.8200000004,455565.75000000047,751593.6430999996
36,37,796753.2199999995,422278.1999999996,700864.2462199987
37,38,753207.9799999997,390651.679999999,688583.8132199997
38,39,745273.7561799999,394128.8099999995,719549.7417500006
39,40,822451.6502700014,460159.8995999988,772718.0460400007
40,41,830041.7998899972,478082.1183400003,753875.4191300008
41,42,765081.1205200005,422207.9874799995,687563.7122199993
42,43,709953.4550900005,388086.31738000026,626524.73
43,44,747917.70213,402765.5044000001,668369.6909999995
44,45,817340.6248600003,430231.71999999945,729031.5538599998
45,46,846099.840639999,452611.25144000055,778942.9554200018
46,47,807059.4900000007,420294.9499999998,733617.8167200012
47,48,1142145.525820001,570293.7147800017,942678.9985200018
48,49,956127.2800000008,473977.2299999992,781851.7299999973
49,50,603392.7042799992,299955.9500000001,524557.44
50,51,633600.2507600008,316327.37000000017,542381.6300000009
51,52,599577.3794,299030.6599999992,509122.95000000123
52,53,639825.7462799993,326373.3673599995,563106.4096000016
53,54,720413.6343200008,364806.5536999998,583401.3616900002
54,55,740498.0410900001,392054.5664499993,603814.1891999991
55,56,757057.2366999983,411223.32003999915,608040.15
56,57,765637.1982099994,414067.16458999965,665039.6290300002
57,58,754521.7167099982,399510.38000000076,652194.0134000016
58,59,778848.3181399995,410485.59509999974,706775.2758300002
59,60,843351.115360001,450159.39575000014,777953.0905000009
60,61,792509.6540299999,463813.53999999946,758510.083640001
61,62,1022879.0806299989,705649.1674500011,953816.6370400001
62,63,860929.3583700019,493166.9673000007,744919.4725599998
63,64,858054.81614,460061.41685999895,730771.2629200006
64,65,765012.190259999,436310.41003000067,642920.890000001
65,66,822528.9454400009,472038.6019499996,754480.2200000002
66,67,773559.1772700016,441520.04386000073,708592.2112000011
67,68,884960.5714800011,508852.4818299994,769063.5600599997
68,69,891975.7453499988,513864.86148999963,793140.3600000002
69,70,1004063.1867900004,598093.1652800002,895729.01693
70,71,1014906.2622400008,570843.9608100012,876778.881279999
71,72,956001.0542300008,531968.1321900001,878892.5845000005
72,73,1036612.5126800013,593931.8165000002,908909.3688200016
73,74,1138329.0553099986,646267.6084699988,991647.2989900002
74,75,1038794.0679599986,584115.4519199999,972781.0087199996
75,76,1031231.2254400017,587679.28339,987632.8657400002
76,77,1079267.45204,606641.0870899996,991089.7349899993
77,78,1125219.7773299993,651813.9008899999,1068524.4742999994
78,79,1103623.9353800006,625867.26603,1005575.4022500019
79,80,1150185.387940001,633324.851600001,1021513.4578600016
80,81,1124452.0615299998,632675.20686,951361.3117400012
81,82,1107524.6205200034,638607.2008800016,970666.1253899995
82,83,1068388.336339999,609071.4110200005,930224.1787599992
83,84,1002105.7850199997,573885.0856799991,947066.1281300003
84,85,912384.5852799983,497193.56349000044,787684.9774400006
85,86,861873.2777600003,490251.0925299993,763346.5055900022
86,87,886551.7062399982,487081.2518900004,760639.2799999989
87,88,911317.6143000011,511575.5,828061.7596499987
88,89,854817.7699999996,433460.42999999976,735531.1199999985
89,90,817744.7952800008,422123.94321999984,694219.0247899999
90,91,768945.4381400001,391968.7900000004,657808.0735600003
91,92,858419.3926300007,466091.1534999992,743187.1045399978
92,93,878092.7950900013,491620.6832600008,809581.2737499998
93,94,748905.7575800001,380146.2008999999,624464.5177999992
94,95,701220.4290800007,363588.6000000002,658188.9399999994
95,96,740540.440559999,401720.21372999926,714801.4811599981
96,97,794936.4121399998,439685.5089400003,762723.2112099996
97,98,762036.5272699997,411886.3394600009,618632.8507699999
98,99,823979.3299999984,434409.6400000002,715807.8499999993
99,100,1365412.7400000016,715897.1399999993,1127449.8425699982
100,101,973461.0977599991,496332.7255800005,776975.3820600011
101,102,534284.5695999997,272471.3100000003,444280.91132000135
102,103,663769.7000000004,333971.3100000006,553648.0300000007
103,104,663070.9399999997,319191.17000000004,547947.5800000014
104,105,714947.4854999986,355782.86899999966,629726.8985000005
105,106,718620.6373399997,364060.21000000014,583904.0946400004
106,107,719126.1299999992,374866.94000000047,619663.0299999999
107,108,764347.7564399983,421852.1249699991,625908.2300000001
108,109,813271.8367900001,453028.09934999974,657816.3599999986
109,110,784630.670000001,397968.15999999916,646703.7199999997
110,111,794149.8099999981,413770.4600000002,756725.5100000004
111,112,859619.7411699992,479454.3739899993,885949.2721899983
112,113,833241.8057999997,493309.95588999864,856394.631979999
113,114,950952.5720800004,549696.5321300002,858192.17086
114,115,832398.3666199975,439946.63677999924,785432.9381899994
115,116,798744.5862699992,438754.2648,783576.4017600004
116,117,975909.7713399974,557324.1656399984,938094.27
117,118,1071392.2111299986,663424.0087799998,1125964.33272
118,119,864847.2239100006,509897.26943999925,886435.1900000002
119,120,945212.6119600007,571796.0377200006,953086.3199999996
120,121,996982.651209999,624707.8441100004,1078149.7258999988
121,122,1075118.9277200003,630701.8016800015,1031583.3370300012
122,123,917368.71614,513364.8037300013,843554.984129998
123,124,828641.7756200013,442840.75890000013,700871.8630199984
124,125,982311.058339999,573965.3255900019,797011.8126899995
125,126,1157011.84282,642967.0954300009,991336.938420001
126,127,1151486.734170002,659670.2677599998,1016328.4056699988
127,128,1096859.1533700023,625959.7321299989,1003773.7254899994
128,129,1043654.3796299993,585784.7316799996,911704.0608800008
129,130,1068070.9346299996,600924.1358800002,906163.0349999989
130,131,1057837.078570001,577310.8599999993,897687.79406
131,132,1100082.2185500003,607469.9737600005,954725.1292600031
132,133,1131350.0972000011,642620.1629600003,962730.6770700021
133,134,1042764.4164300017,615449.3326599997,858912.3928499996
134,135,1038540.3525800008,591325.7630800018,889264.68776
135,136,1053062.7979099995,572954.9214000002,917693.18976
136,137,924392.2098900005,501713.7194599993,759504.1085700002
137,138,916516.9576000016,512926.77671000076,770036.1042800009
138,139,883400.7860299984,499476.25723000075,744254.6039000002
139,140,880594.3935100009,469441.2097399999,743795.4990899995
