,cod_semana,total_valor,total_volumen,total_unidades
0,1,2689980.718340007,2120840.429560002,2578377.746660004
1,2,2384925.9952099994,1861500.2084300045,2332655.7805599994
2,3,2332744.1688599973,1804661.384860004,2243963.269380005
3,4,2183946.282940003,1660355.650370006,2005767.8054400068
4,5,2468125.528330004,1963742.692010006,2217012.959780005
5,6,2357792.9303499996,1813962.242370006,2189494.755870007
6,7,2384388.0036600027,1889258.9621000031,2229841.2963200035
7,8,2543093.8079300006,2103218.9004500043,2414063.9917699983
8,9,2340672.6223200043,1879550.782589999,2123487.4279499995
9,10,2619184.4114699997,2100728.515889999,2322157.15431999
10,11,2508179.20091,1952626.333580002,2193734.4917799975
11,12,2456506.909959999,1948676.097159999,2326174.628370004
12,13,2333129.2017899966,1859228.3383600018,2180697.4149499983
13,14,2626974.3979600114,2102461.6935899984,2388509.991590006
14,15,2242376.226140003,1814700.7238200016,2128272.069180006
15,16,2478996.843560006,1985924.4020900084,2292408.186960007
16,17,2458855.097409998,1918668.8218900012,2347521.392540001
17,18,2683696.475629992,2151692.907669998,2434589.14904
18,19,2696235.0987799983,2173964.670640001,2417696.71473001
19,20,2946336.6015100097,2426608.5475900047,2796520.4562099916
20,21,2922885.453499996,2374427.5948799946,2884981.447310003
21,22,2921581.743990004,2380962.299740002,2882288.537080001
22,23,3028555.0975099974,2428853.8739099987,2978207.8722500103
23,24,3093667.9245999916,2538893.2065300015,2983110.4465200035
24,25,3053075.8548500002,2475998.0961200027,2891613.0638100016
25,26,2891810.438190008,2396634.561079997,2696915.6247400013
26,27,2916102.7348299995,2454503.509629997,2851217.320619989
27,28,2880991.7497599917,2294906.923600004,2732518.547039993
28,29,2928775.6131500076,2418391.640470006,2840431.072260007
29,30,2692279.746890002,2211095.2441500006,2571081.995879997
30,31,2795750.8998200013,2193592.7163200025,2621106.0614699977
31,32,2977754.76387,2342003.3970900015,2735910.834379995
32,33,2892458.5942699984,2251167.3730900004,2657404.547700002
33,34,2691654.2645799983,2114217.278539997,2517881.061319992
34,35,2582309.352439998,2077083.8415300043,2525585.6762899975
35,36,2907374.092820002,2390127.909630005,2725147.0896100076
36,37,2519193.854489996,2019678.9619500006,2445836.528540005
37,38,2541920.448359995,1959328.375490002,2274499.0461200015
38,39,2436578.711540001,1903763.0492000002,2304115.902410005
39,40,2624598.9613100095,2083270.7912500075,2528246.396810002
40,41,2627772.593939997,2069994.8901700014,2436479.9872300033
41,42,2427083.213409995,1902887.927400005,2266219.816410007
42,43,2324575.1758699957,1791011.7763799983,2194124.548610005
43,44,2325103.2510800045,1778074.4772900029,2123385.8937100004
44,45,2434963.4875699994,1913971.4994999983,2204659.87805
45,46,2392948.8107000017,1907915.151630001,2174901.56371
46,47,2552259.5606300053,2061207.1738599988,2415933.8722099937
47,48,3036817.948489995,2481334.913270002,2697087.425619999
48,49,2687618.4742100006,2157775.740000004,2278459.7835800005
49,50,2005761.0283799935,1552815.0330900017,1755157.2106899954
50,51,2135799.1955800005,1662290.0010800017,1907439.7201699992
51,52,2086556.094519999,1631281.2017600008,1918202.6053999995
52,53,2367877.868929995,1922248.546809997,2295676.50872
53,54,2281246.32027,1779192.627240003,2058364.7991400037
54,55,2385674.8943600045,1916892.0761500027,2222442.5770400036
55,56,2291215.1323999963,1807875.4302500049,2071647.2036300024
56,57,2543118.1796000083,2096865.2051299978,2438952.8647499974
57,58,2396158.7181800045,1906931.9181200054,2277747.3832800034
58,59,2582180.2207799996,2044139.7360400003,2481042.5366200055
59,60,2542959.106650006,2065198.1298599998,2591531.4150799946
60,61,2272829.8435700024,1809970.2657399992,2164461.6323400047
61,62,2528990.129180004,2016670.2631100041,2349288.5029499982
62,63,2578927.823280008,1966201.8084100045,2379106.055260001
63,64,2659456.717670009,2088655.836200002,2306320.71975001
64,65,2486573.8411499965,1893211.9021299966,2252943.344079997
65,66,2664010.801689993,2061567.948809998,2545892.138489996
66,67,2229148.391689995,1728970.1182000027,2090601.5320499956
67,68,2412571.535800005,1874768.9362700002,2282231.467550003
68,69,2430305.4205500013,1899910.9417199967,2367680.464020004
69,70,2605744.4602600043,2199744.985130007,2541386.2516500037
70,71,2699944.025340002,2234998.0677700094,2604777.485839997
71,72,2822703.773960003,2330125.4846900017,2897502.4301500004
72,73,3031579.0671500056,2450739.270930004,3158420.6426000046
73,74,2905013.7963300003,2407341.549119998,3152417.5609900015
74,75,2821838.2927300073,2385918.538720004,3042223.5569999893
75,76,2729666.8741399935,2251201.627799995,2704228.948769996
76,77,2828165.247169999,2376381.539579997,2670443.4573899996
77,78,2719380.8837999967,2311959.1380799995,2585052.0273700063
78,79,2935540.1830400056,2479125.539040003,3038612.3619499984
79,80,2866668.499849989,2361879.5207599993,2970999.1201799903
80,81,2951153.417360002,2375479.720859996,2716789.193989997
81,82,2847251.5513600097,2414600.063560004,2918026.227330001
82,83,2782050.2988299974,2315527.573389998,2832548.80859
83,84,2842986.688659996,2426794.2354399874,2825237.826899999
84,85,2601429.88579999,2113255.2232799963,2673296.638859998
85,86,2697665.321750004,2124774.830480003,2684466.3183300043
86,87,2538911.07267,2032086.8591499974,2477473.507949996
87,88,2632725.4264400015,2123595.709439996,2627227.019000009
88,89,2679321.301630011,2117795.8496399955,2523909.0818999954
