,cod_semana,total_valor,total_volumen,total_unidades
0,1,143768.9700000002,105011.8299999999,193099.0963099999
1,2,151312.81999999986,112531.0800000001,214462.39673999968
2,3,152373.07,112480.56,249719.88999999958
3,4,137198.52999999985,101600.68000000005,224822.55999999997
4,5,145048.9399999998,107031.44999999987,232284.5936400001
5,6,145899.32999999975,106571.90999999987,227413.4499499998
6,7,127052.62000000005,91084.77000000002,184820.8121499999
7,8,148669.16999999995,105337.3799999999,202581.34538999986
8,9,134388.2400000001,96201.1,192808.47497999994
9,10,145834.43999999994,101312.29000000002,199382.13480000003
10,11,136867.93000000002,95539.52999999987,194286.93999999994
11,12,128964.27000000006,90151.22999999991,179144.27999999988
12,13,131764.00000000003,89872.81000000003,175846.94299999994
13,14,174389.17000000013,129462.45000000006,251032.01122999997
14,15,162373.11000000016,123394.48000000001,240022.5911599999
15,16,164939.5499999998,119289.79,254325.8582199997
16,17,166872.95000000013,119927.46999999997,245786.91072000007
17,18,181277.94999999984,128024.59000000004,256859.91864000008
18,19,183532.94999999987,129058.51000000013,263331.7689600001
19,20,207623.66999999978,147245.7799999998,301840.53729999997
20,21,195951.20000000016,140003.72999999995,286132.73000000004
21,22,231201.1000000002,174741.02000000025,349631.6149600003
22,23,235540.18000000002,186144.70999999985,378271.1486700003
23,24,230648.36,177543.0400000001,350410.93121999997
24,25,187923.99,138627.25000000012,286662.9900000003
25,26,188579.56999999995,140438.8199999999,281023.3299999997
26,27,179199.35,133886.3799999999,285695.6399999998
27,28,182023.18000000017,132320.8000000001,285524.3799999999
28,29,192752.4800000001,142404.52999999994,323658.79999999976
29,30,172442.7299999999,132274.75999999995,296805.0199999998
30,31,176320.73,130966.0999999999,291619.91000000015
31,32,190302.7799999999,137575.89,288521.4917399998
32,33,199578.85000000003,145948.8399999999,297418.2648000001
33,34,172383.6000000001,127492.18000000005,268089.81525999977
34,35,177757.31000000006,133513.59000000003,267959.28576999996
35,36,201266.83923000016,153126.66788999998,283398.07407999976
36,37,185975.97999999963,142708.7399999999,262145.2396
37,38,167848.25999999978,125507.10999999987,256115.11999999973
38,39,153601.3599999999,117009.73999999995,234662.16270999998
39,40,182039.3272399999,146625.36999999985,273513.29094
40,41,198491.04999999993,158636.65000000008,318205.9164599996
41,42,174204.59,138809.52000000008,305597.68856000016
42,43,152051.07000000027,113968.11999999985,237564.61000000013
43,44,144926.98,109849.41999999995,233581.16247000004
44,45,165017.87000000005,124536.67999999992,242199.47702999992
45,46,160514.52000000014,121933.55999999995,250798.93513999993
46,47,173618.57999999996,132897.15000000002,282851.32527999993
47,48,231328.67000000027,164987.77999999997,335058.8045199997
48,49,169719.5500000001,123314.21999999988,264389.6099999999
49,50,120142.63999999998,85483.62000000001,190209.82999999984
50,51,148680.24000000005,110352.35999999999,253308.7499999997
51,52,149405.4099999998,111756.68999999994,273541.9500000003
52,53,156635.65999999997,118551.93,245288.15553999998
53,54,168378.56999999983,125152.06999999995,234843.31111999988
54,55,152425.15000000002,109701.14999999997,232183.44399999993
55,56,149868.60000000006,106772.78000000006,215770.87999999986
56,57,154084.09999999971,111961.57999999987,236744.92000000027
57,58,170058.09,121509.03999999994,270391.74229999987
58,59,157736.10000000006,110041.33999999992,221135.39605999977
59,60,165622.36999999997,115996.07000000014,225458.26017999995
60,61,157324.4199999999,111309.92000000003,230938.7926000001
61,62,169892.14,121487.80999999995,261011.94999999963
62,63,182991.8500000001,127979.62,271007.67999999993
63,64,164843.4999999998,113268.96999999987,239043.18000000002
64,65,171334.42087999996,116399.18795999988,227523.19843999983
65,66,188234.32179999986,133425.79814,281108.38036000007
66,67,168610.6555999999,118021.07215999995,266056.7407900001
67,68,186503.44000000003,127490.47000000004,266217.3693999999
68,69,176133.42838,117373.0427399999,241748.26903999984
69,70,211570.80328000005,141341.55398000008,293593.10280000005
70,71,205746.77540000004,138981.44999999992,279059.56857999985
71,72,222852.9499999997,148452.42999999982,315175.9976300001
72,73,235657.80000000002,161154.30000000002,323053.2929000003
73,74,257806.66,181326.5,382161.7580800001
74,75,215944.08,162545.11000000004,341091.6324
75,76,201528.37999999995,148042.75999999998,329375.4063999999
76,77,228444.94000000006,173647.96000000002,362441.34364999976
77,78,234114.4800000001,178448.9600000001,362338.6981199997
78,79,219177.77156999998,158719.96647999992,355079.36907
79,80,214010.1899999999,149726.51000000004,334922.5900000001
80,81,214170.50999999995,154590.9499999999,337853.81999999995
81,82,217337.00999999986,169645.40999999992,376822.76525999967
82,83,203268.3199999998,150556.82000000004,329202.5562900001
83,84,216206.86000000007,159770.03999999998,338116.1915499999
84,85,193732.53000000003,141525.91000000003,304445.6378099997
85,86,194199.96999999997,146127.24999999997,313574.32806999993
86,87,188179.28999999972,137367.5,302419.42000000033
87,88,197608.0300000002,143278.00999999983,295639.87000000005
88,89,192614.51000000007,130020.78999999998,278957.34200000024
89,90,190165.9799999999,131121.05000000016,269255.0400000002
90,91,179065.00000000015,122755.02999999997,258550.09999999995
91,92,194259.04999999993,138860.9500000001,289288.1836600003
92,93,202977.85000000003,154068.36999999985,310645.3947999998
93,94,173754.96000000005,127846.39000000007,267610.0042100003
