,cod_semana,total_valor,total_volumen,total_unidades
0,1,4646763.884090026,3199335.979559996,4661206.917519998
1,2,4308166.645130013,2898051.709710009,4393081.045520015
2,3,4356454.156399998,2892973.8442199808,4352527.785379995
3,4,4123084.114770029,2691887.1562400023,4001634.5205700053
4,5,4582316.639459964,3103750.9087600093,4502545.883989988
5,6,4511614.755900007,3013375.0465700347,4622289.796559987
6,7,4461198.695450025,3027256.688780003,4416933.022570042
7,8,4710064.818889991,3272772.770450011,4683999.170980028
8,9,4454545.739360012,3017888.6525900033,4311700.468730028
9,10,4872698.57567001,3344124.0979000125,4740835.166270004
10,11,4594583.921280002,3087648.871290003,4374343.512149997
11,12,4596111.4381300155,3153961.2557200096,4507104.068370009
12,13,4367390.033329995,2966789.4226200185,4276296.687950007
13,14,4951076.510390032,3380731.3952899924,4816340.598689983
14,15,4471574.575660036,3020824.121020005,4443133.045560041
15,16,4716731.591380015,3226021.9547899794,4658779.370489994
16,17,4803543.874410017,3245038.5231900015,4813469.907200033
17,18,5475190.628030053,3697481.5466900044,5322754.228720042
18,19,5275797.442699999,3656491.4042100385,5274144.159870003
19,20,5837089.138739992,4090455.2494399883,5958018.500259985
20,21,5691949.205179996,3975768.4990200144,5832686.988320026
21,22,5962483.236469963,4144091.5251699993,6054026.169339967
22,23,6151510.024290007,4283418.104730011,6338639.026969979
23,24,6250564.821629952,4367426.599459993,6376994.135299935
24,25,6060227.3221700275,4231970.499040007,6102473.298000006
25,26,6008896.953159976,4211825.038640002,6015547.31387999
26,27,6017285.3213499915,4264967.440229973,6168373.246209981
27,28,6351486.066799964,4294330.32115997,6359352.011499999
28,29,6302879.718669991,4384736.58882999,6425535.302019966
29,30,5647050.641089979,3930389.3951100027,5865226.799699968
30,31,5930462.736669998,3996573.21040999,6113239.46833999
31,32,6014176.161919967,4058822.8171699857,6068248.616519949
32,33,5863420.210389999,3906896.7430899926,5812409.103569948
33,34,5266647.026860017,3576375.5803099996,5296713.30451999
34,35,4927829.82572001,3414102.012129998,5161583.946799982
35,36,5472281.097850016,3833332.627520017,5538380.128539969
36,37,4973763.464490012,3353443.681950013,5109561.207020011
37,38,4787804.06836001,3161316.655490029,4737882.207890034
38,39,4565152.547720007,3048329.8292000536,4645743.526870016
39,40,5032159.848820005,3444042.770850059,5223136.5819500005
40,41,5057873.763830001,3461317.2285100166,5152457.426279982
41,42,4573820.833930017,3092877.2248799843,4597270.4471899755
42,43,4342866.020959997,2870433.063759988,4280063.408609976
43,44,4339904.543209998,2858221.501690005,4240630.20717999
44,45,4709184.042430006,3117468.6795000224,4564421.768940009
45,46,4645792.561340018,3114610.893070016,4550703.222539983
46,47,4770694.670629968,3256051.5738600004,4815839.380919986
47,48,6033519.234309981,4021418.638050012,5630900.161240019
48,49,5197655.284210014,3432593.640000023,4736671.185909975
49,50,3694041.192660009,2415152.5130900084,3487090.3817999926
50,51,3955686.866340027,2612456.851080004,3855245.6463999907
51,52,3832217.623920022,2543429.5417599943,3779524.2653999953
52,53,4210294.505209997,2894977.814170005,4254114.323859999
53,54,4296463.164589983,2820851.750939985,4075930.5819499893
54,55,4399361.425449965,2976606.5025999853,4257654.670239968
55,56,4307225.44353999,2880926.6049299985,4074344.9470699914
56,57,4623205.73781003,3222201.389720029,4628202.599150015
57,58,4537693.0990799945,3051160.638029993,4525122.365819985
58,59,4774093.671979971,3220990.0148499934,4814430.110829989
59,60,4876812.612009977,3321708.955609991,5078835.924659959
60,61,4401869.557600001,3010718.515740002,4471843.170940001
61,62,5072003.079809968,3595075.8405600074,5132796.401349967
62,63,5068578.361649967,3354588.5957100247,5027387.8675000025
63,64,5120396.093809993,3413093.153060038,4889935.940829991
64,65,4811489.831690003,3192574.788519983,4721565.6850699885
