,cod_semana,total_valor,total_volumen,total_unidades
0,1,366209.42999999935,236130.8399999996,497146.7356500007
1,2,353534.6299999991,230813.51999999947,483629.1826800001
2,3,344700.93999999994,216567.31999999966,469095.3527399998
3,4,317869.2900000001,194211.05999999962,433479.2515199993
4,5,374046.2263800001,243897.83154999962,508270.08846999984
5,6,384279.6880500001,256032.6318999995,502022.3989099993
6,7,367185.7319199997,245538.10667999982,493540.91280000017
7,8,358238.3499999999,228360.75000000012,490436.7738200001
8,9,407693.99000000046,262932.89999999973,547289.1157999997
9,10,483414.902559999,330159.5262100002,689747.868299999
10,11,452174.2103099991,311258.4645400003,648236.1929900014
11,12,433616.46078,285057.9000000002,603869.38
12,13,431104.06692000007,270343.18375999987,610653.4300000009
13,14,494731.09999999945,311147.7200000003,677279.3599999988
14,15,468420.0099999998,290059.6100000001,621294.1935999996
15,16,502727.18000000005,320971.43000000005,665978.4253100011
16,17,577537.4708600001,382610.2900000007,774641.6734399991
17,18,637288.8466300006,418624.18610000104,861677.8234900008
18,19,645120.0681200007,436467.5915600003,896456.9894899998
19,20,775343.6284099978,515895.85430000006,1080308.324120001
20,21,732536.6028199994,498460.4699999993,996975.8548699999
21,22,838158.5277899993,584165.7152000008,1096292.9611799992
22,23,934060.1475699994,653092.082889998,1208638.6992800015
23,24,974328.62783,679621.023300001,1321840.9337300002
24,25,945457.5631900015,666424.8691400002,1268831.7237099996
25,26,970663.9116200017,692231.5400000024,1271068.9956299998
26,27,974141.5968400006,689985.8599999996,1310720.531789999
27,28,1060804.4794300012,731212.5730000004,1392755.7267600007
28,29,1017928.2552499991,670945.610619999,1348185.6784000015
29,30,910444.1984299988,608380.9583700001,1223198.6811799998
30,31,970592.2453199999,626167.5070399998,1278035.7024499993
31,32,955178.78408,609428.3600800013,1264978.1565600024
32,33,949091.6116699997,613706.9600000015,1206556.7680500008
33,34,745931.2056600003,505077.4997699998,972231.7379399997
34,35,655486.0543999994,444927.9505999998,926651.8147400011
35,36,650089.3099999991,432045.1100000002,926441.2931699997
36,37,571365.4200000002,363455.23999999964,824512.5226600012
37,38,527440.7000000007,330053.1699999997,736774.6185499999
38,39,472453.7000000002,299016.0799999996,657843.4999999997
39,40,534980.1199999988,346215.49999999965,730978.70051
40,41,544070.3999999996,350206.51999999926,734925.9781400001
41,42,456365.15000000026,285267.39000000025,593783.9000000001
42,43,414544.3000000005,254352.40999999997,527227.9699999989
43,44,395422.59999999934,240980.82999999993,509485.4099999997
44,45,472514.9199999994,285570.99000000034,616070.3699999986
45,46,457508.9599999999,282360.3500000002,605525.2782699998
46,47,445962.17999999924,282694.59999999986,639050.5600000008
47,48,580978.0999999989,350076.9600000001,748429.7994500002
48,49,472009.90000000066,287095.1300000003,610934.010000001
49,50,335887.6300000001,200426.9499999999,427062.22000000026
50,51,347982.8700000001,212990.3100000002,474560.94000000035
51,52,336464.7000000003,208660.4999999996,459522.1800000002
52,53,370923.7200000006,227243.52000000002,501212.5499999996
53,54,380886.69999999995,228110.51999999947,492366.0199999992
54,55,390368.8900000003,242674.61999999953,501910.0999999999
55,56,383944.79099999985,246514.8800000004,502312.41000000056
56,57,395810.6800000002,249658.3400000001,519599.1024900006
57,58,409926.4941900002,245885.89990999986,511068.147670001
58,59,434647.29306000035,274161.0637100008,576161.4797300006
59,60,478794.58000000095,314616.8200000001,651366.4052500005
60,61,399657.70000000036,265780.82999999984,531605.9107800004
61,62,514014.0699999994,340930.5599999995,655504.1113600003
62,63,560362.8299999998,353861.95999999903,748258.9796800014
63,64,605038.5400000014,375307.6899999998,804367.4381600011
64,65,588717.1694000007,378704.65840000013,791793.7370800009
65,66,631897.9200000009,416694.67,870817.3352400013
66,67,546966.3399999987,350652.17999999976,738645.8793500005
67,68,607099.3878300008,399272.05455999926,776543.5033000011
68,69,695475.0422400014,447678.0692200002,893391.2553799999
69,70,846658.31902,599888.2196900005,1215417.503340001
70,71,903799.4429699992,654024.65,1301408.2357900005
71,72,903814.289579999,621859.9799999992,1255881.7998399995
72,73,1042766.28605,680121.9600099998,1359563.15307
73,74,1125009.6907099984,731026.5560800001,1410020.586809999
74,75,908957.2574099996,590102.9899999991,1199416.703500002
75,76,886209.4799999999,568384.6399999995,1121680.241260002
76,77,998888.673969998,673897.4561800001,1329281.41752
77,78,1038961.3875100006,726695.410000001,1396247.999190004
78,79,993130.0217000003,676805.39649,1377768.6506000028
79,80,1099328.291939999,752113.666420001,1410533.0830799993
80,81,952358.9874699999,634139.7516600002,1259745.8329700015
81,82,950195.655310001,646033.5251199992,1244631.4795300034
82,83,921585.0239999997,614206.2910000007,1208984.1879800004
83,84,801760.9500000015,527566.2500000001,1051785.9494300007
84,85,758382.9300000011,509923.9399999997,991849.5601700009
85,86,646043.2219699987,445266.2580000004,872957.0144499996
86,87,572496.5399999995,395265.8700000001,763372.1868100002
87,88,633743.59,427133.97999999963,877905.9233499973
88,89,582765.1299999991,363060.23999999947,788969.1939599995
89,90,571930.3400000002,348134.7899999997,751678.7689999989
90,91,509914.13000000047,305712.4399999998,670551.6931200004
91,92,531964.3899999997,337408.1500000012,728686.3692899985
92,93,580319.3699999994,382732.4100000011,806571.8975400005
93,94,468286.14000000077,297874.96999999974,647854.7999999991
94,95,457059.5800000011,287277.09000000014,582135.5999999997
95,96,439272.84999999986,281762.33999999973,554363.5499999983
96,97,463327.6399999993,298293.0299999999,596546.6986399997
97,98,459923.1899999997,285379.0000000002,587251.3999999997
98,99,451424.10919999983,306986.2400000003,588008.053339999
99,100,736065.189999999,492465.8700000002,964700.9432299999
100,101,510582.2400000002,327822.39999999944,666174.111999999
101,102,291512.1800000006,176781.42999999993,363831.7057000005
102,103,363297.5500000002,225155.3699999996,495907.8600000011
103,104,367937.4100000001,235333.50999999975,527959.2299999997
104,105,396975.10999999935,263288.94999999984,574515.2099999996
105,106,412326.8999999988,274616.5499999996,596965.9467200002
106,107,362180.5599999994,241507.84999999986,534757.2713900005
107,108,392998.2600000006,260324.08000000005,524196.7827599994
108,109,428485.35999999964,284729.5199999993,601845.8800000002
109,110,432138.2299999998,292482.6800000002,602763.527009999
110,111,449912.4000000003,296460.2499999993,622363.2143800003
111,112,452022.74543000024,297361.58999999956,558182.3852200006
112,113,443378.2488800008,323520.3800000002,567325.94878
113,114,520658.4517200003,356553.65999999986,656981.2068899996
114,115,507772.19325999974,342202.3999999998,674915.0107599996
115,116,451945.60283999983,315778.10293000063,647577.3385400003
116,117,562782.6809999999,397607.92999999964,801711.9366900005
117,118,650846.9628000001,452676.63004000037,920602.687170001
118,119,592394.3600000003,392718.3899999998,820884.037779999
119,120,606009.2790000003,402555.14500000095,847026.7261300008
120,121,626701.8227800006,441009.027,862169.057660001
121,122,696901.4347999999,465399.9413999997,916789.8414500015
122,123,671100.0399999999,449692.23000000056,957789.9602000011
123,124,671727.8600000006,461532.67000000057,1035999.233680001
124,125,796447.7712499995,553735.574999999,1168216.883169998
125,126,1040388.4139199998,718590.2112000007,1390057.6694499988
126,127,1087464.673689999,735783.8745699993,1464930.765070002
127,128,1015771.2231800031,682933.1247799998,1377919.226579999
128,129,1095194.1354599972,732665.189999998,1538389.0126799992
129,130,1003580.3842800022,679730.7199999999,1349470.4400400016
130,131,1068257.7820600003,712817.9840000005,1494679.279720001
131,132,1241737.2065000017,826827.4339999999,1754297.9419999993
132,133,1134332.5703400006,762643.7129999984,1551553.0862999996
133,134,965114.40638,661253.0820000008,1301749.8835099998
134,135,940313.3309999997,633273.7999999996,1335050.1049599997
135,136,960560.0723199998,640328.5730000023,1399612.78219
136,137,819231.7170000006,540418.1289999994,1122274.9949800023
137,138,768768.4000000012,498395.3210000005,1011246.7495900017
138,139,765669.7789999994,488085.126999999,1011932.5425000015
139,140,780671.0099999995,498573.46000000054,1062155.8736999996
