,cod_semana,total_valor,total_volumen,total_unidades
0,1,273674.9200000002,84371.60999999996,178014.7699999995
1,2,275441.3999999993,79586.87999999995,174842.50999999983
2,3,295482.4200000003,85922.48000000005,196231.9599999992
3,4,291078.9157999993,85579.08999999988,187399.79579999903
4,5,323541.0799999994,92876.24999999965,207286.69999999955
5,6,321937.43999999954,91717.60999999962,206822.08999999944
6,7,330900.6699999988,101499.57999999975,200852.26999999885
7,8,338413.039999999,104665.06999999975,214876.01999999926
8,9,364481.3399999998,112802.4999999997,239543.3099999995
9,10,347127.65999999887,108647.56999999969,214822.19999999908
10,11,325801.13999999897,100132.1099999997,196149.21999999968
11,12,319937.8299999992,98122.9199999999,195635.5199999992
12,13,288650.3799999993,89360.35999999999,177021.80000000008
13,14,320784.1300000002,100561.51000000023,203858.14000000028
14,15,305265.64,92925.61999999998,194390.1600000003
15,16,301545.8600000006,89144.04000000004,195761.4999999997
16,17,297341.5900000004,88993.52999999981,195147.34999999995
17,18,374424.19475000066,114136.69999999976,248340.6199999999
18,19,335121.1199999999,102982.57999999974,214790.00999999954
19,20,356219.71000000014,111685.22,240434.54999999964
20,21,380815.3648200003,122975.98999999964,262280.86482
21,22,415778.4100000003,134156.3900000002,270636.47999999963
22,23,395121.48000000045,124568.74999999967,269553.7699999993
23,24,448264.8658399991,145420.40999999992,297055.8923600003
24,25,405435.5347599997,134894.47000000003,267866.3297199995
25,26,440604.6161200004,142082.6500000002,285411.79612000036
26,27,452542.13064000057,149123.47999999984,296050.5432400002
27,28,485506.94420000014,160350.0200000002,321194.8220400002
28,29,466843.5523799996,150899.61533999993,309407.99021999945
29,30,406306.85528,128098.90999999967,262677.60001999926
30,31,440872.9332600011,147112.9999999996,297079.8044199997
31,32,439174.0317200006,149923.1600000003,312003.14384000015
32,33,442853.17296000017,147694.5599999999,324363.8223000003
33,34,410985.7400000002,130610.75000000013,293796.29999999993
34,35,367445.9499999998,121275.74000000018,268366.6799999996
35,36,399313.25579999946,137368.21999999977,298770.59307999944
36,37,448997.4699999997,148832.04999999996,328926.4399999993
37,38,359056.55999999965,115366.39999999997,249516.0299999998
38,39,347537.95999999874,111450.87999999998,238957.3299999999
39,40,375238.3799999995,125744.84999999985,270878.0899999997
40,41,385461.01,124517.55999999992,277872.7199999999
41,42,333351.51999999984,104117.87999999974,226516.05999999994
42,43,330594.1100000001,102234.85999999991,218907.5199999993
43,44,320607.5500000003,102434.51000000018,224213.37000000005
44,45,366553.08,119049.06000000016,253807.45000000007
45,46,340502.54,111902.64999999976,235902.64999999994
46,47,343169.3800000003,113229.25999999985,236055.59999999974
47,48,453751.1599999999,143430.8000000004,297843.10000000027
48,49,419703.17000000004,131959.66999999984,278136.60000000027
49,50,282459.69000000035,88729.56,193631.09000000014
50,51,315102.8599999992,99808.93999999987,224100.46000000025
51,52,289993.3799999995,92743.22000000007,201510.60000000015
52,53,308757.7699999999,99389.74000000018,222727.7700000006
53,54,342973.32999999926,109319.24999999978,245594.66999999926
54,55,326466.2699999994,102994.00999999983,229355.29999999935
55,56,325400.5934400002,102831.53463999993,228892.15344000008
56,57,343313.2699999998,115983.52000000002,251846.54999999973
57,58,362712.6900000003,122493.11999999984,263259.1599999997
58,59,343616.3400000001,108573.90000000015,241008.58999999976
59,60,361112.0000000001,112677.84000000007,249645.00215999995
60,61,333102.0099999992,107296.48999999989,247847.00000000035
61,62,365855.5099999999,129985.13999999991,289458.99999999953
62,63,408407.32999999984,141861.85,318928.0699999998
63,64,373206.77999999945,127782.70999999977,299566.9300000001
64,65,339429.94000000035,113726.09000000014,265696.5400000004
65,66,405265.2000000007,137704.70999999982,321491.7200000003
66,67,337241.4000000005,107393.01000000017,241572.61000000013
67,68,397406.24445000006,131142.33000000025,299968.16999999975
68,69,367205.2400000003,121546.26,288462.50999999966
69,70,444157.1499999998,162651.82000000007,365150.7296199996
70,71,456791.6308800001,162334.92999999961,355231.5867099999
71,72,417888.53000000055,150188.78000000014,322255.44
72,73,436285.9799999987,150246.47999999975,356313.8799999998
73,74,471032.6199999995,163079.4200000002,373897.17306000035
74,75,481273.76808000053,176318.86000000106,394514.5617800009
75,76,486385.9524799993,173221.14,385208.5826500014
76,77,494834.8851499993,175661.35,389698.02297999867
77,78,503725.5141099998,176264.56686000084,396587.7351899999
78,79,511754.9900800001,185207.7799999999,416086.3084000007
79,80,530213.5448499998,193389.47999999984,433799.3966299999
80,81,516039.6893099996,181913.84946999955,405387.9998400017
81,82,469621.54886999994,162118.32999999938,361295.72851999983
82,83,489824.91414000094,172970.53999999937,400041.6575099999
83,84,482120.93999999994,172468.23000000019,416364.3399999993
84,85,444118.91170000064,157921.87999999986,363470.523470001
85,86,424631.4691599994,150755.43000000008,339995.0745999997
86,87,413392.32000000065,138996.2700000001,317307.25999999966
87,88,430353.78000000055,150307.79000000036,341587.72999999975
88,89,389922.83999999915,133788.10000000003,300318.0900000005
89,90,381844.72999999963,132575.2600000002,291731.75999999966
90,91,347274.5599999993,117867.50000000015,264968.1100000003
91,92,389854.85999999905,142016.96999999974,297887.28
92,93,408627.2399999994,155624.91999999975,328094.37999999983
93,94,381013.87000000075,139770.62999999977,289304.2799999997
94,95,331953.5899999996,123675.31999999993,259560.51999999987
95,96,332505.76999999996,124893.99000000008,252623.11999999988
96,97,385582.69000000006,153110.0600000002,305059.9600000002
97,98,370508.6199999999,136600.8300000003,290730.43000000034
98,99,338773.0700000003,124630.0499999999,264591.1299999996
99,100,512082.93000000034,191064.44,399965.7899999993
100,101,460972.0199999996,168802.1599999994,349705.43000000046
101,102,249639.76999999996,93098.6499999998,201094.00999999992
102,103,357870.0499999999,131801.90999999992,280367.7599999996
103,104,349592.4200000007,126507.69999999974,264037.5799999996
104,105,338288.5699999999,122073.65999999984,253811.57999999955
105,106,360379.72,129037.1699999998,267101.87000000034
106,107,358613.0300000009,128828.78999999983,273924.31
107,108,373612.5500000001,134159.5099999999,299300.6700000001
108,109,365246.86000000016,138602.91999999987,287083.3900000001
109,110,366829.88000000006,131005.69999999991,273398.34
110,111,370595.5800000004,127890.58,266467.2600000002
111,112,421534.28594000026,147590.24999999974,328469.53593999916
112,113,420220.12000000046,161227.04,337403.6499999996
113,114,410233.139999999,153353.48999999987,337880.5699999994
114,115,403101.19000000006,141936.3099999996,311449.59
115,116,396151.7999999998,142983.55999999985,321787.32999999984
116,117,369735.58999999973,125110.88999999981,274974.11
117,118,414781.3199999994,154294.6400000001,328506.2400000001
118,119,400971.5899999991,140364.1099999999,305008.79000000027
119,120,403864.73999999976,147713.70999999958,301704.0000000001
120,121,411144.2599999998,153109.90000000014,312039.18999999994
121,122,436297.31850000005,156754.53999999998,326190.7744999997
122,123,405865.86149999994,140816.46999999988,306007.0738999999
123,124,406334.7173499999,146788.68000000017,304526.8584600002
124,125,465298.36000000045,166769.01999999967,346971.8399999994
125,126,526738.0499999993,189669.20000000022,396428.9699999999
126,127,476159.9999999997,168761.08999999965,367150.7800000005
127,128,500456.1699999993,174008.06999999986,380819.9400000004
128,129,500840.480000001,180658.03,375376.4700000007
129,130,516062.2083799992,192403.94999999955,387643.0099999997
130,131,504233.22715999954,180298.72999999972,365648.3232800002
131,132,561773.2689400008,202499.08999999965,401145.4420400007
132,133,538312.1972599985,187468.49999999962,386567.1375200004
133,134,522367.06425999955,183313.3299999999,375286.4409600003
134,135,528518.3914199994,190637.1599999999,378242.7334999995
135,136,503291.3400000002,200304.04919999995,400315.2384
136,137,460595.6199999998,170625.5499999996,350293.4199999999
137,138,450776.49000000075,161637.9699999999,353340.36
138,139,408354.2399999995,150441.02999999982,319166.74999999977
139,140,440725.6200000002,171113.93999999992,325351.2599999993
