,cod_semana,total_valor,total_volumen,total_unidades
0,1,252700.53999999998,187341.9699999999,379871.3599999995
1,2,231614.1499999997,166438.46000000008,340225.30000000016
2,3,220477.98999999993,151521.12999999995,289546.80000000005
3,4,202467.24999999994,139400.3899999998,255430.17999999996
4,5,237685.41999999975,163780.6399999997,314290.8199999997
5,6,243376.84999999983,172782.87999999968,323386.7799999997
6,7,244584.9699999999,180021.44999999992,322434.86999999965
7,8,251341.24999999983,183786.34999999954,314223.7300000001
8,9,215419.05999999982,159065.5799999998,282879.1
9,10,255623.29000000015,190891.2,375944.47000000015
10,11,251957.23000000004,183765.27999999994,360275.78845999984
11,12,247497.21000000014,179084.71000000017,328529.7700000003
12,13,260532.8399999999,182849.15999999977,328531.93000000017
13,14,285518.58000000037,204101.29999999984,387370.04999999946
14,15,255500.39999999985,183275.00999999998,358907.48999999976
15,16,242310.2300000003,174490.3800000001,338823.08000000066
16,17,262331.92000000016,185586.90000000008,326950.37787999946
17,18,294653.2099999998,215936.98,435165.6044799999
18,19,293880.4900000006,226789.5800000001,478064.0420400003
19,20,320663.4800000003,241540.36999999994,465810.23920000053
20,21,282588.57999999984,209649.19999999998,383150.9399999993
21,22,294331.4900000006,210802.1400000001,378678.5361200002
22,23,314229.91000000027,217929.35999999972,422363.33
23,24,303487.48,206053.78999999995,396577.57999999914
24,25,292935.9000000003,217793.74000000008,413426.0392300003
25,26,312857.53000000026,236515.5000000001,436330.86431000015
26,27,308312.4599999998,220959.58999999962,408134.78000000014
27,28,314863.26999999984,233635.63999999984,400754.45999999973
28,29,303341.0700000002,225399.4900000005,403630.9800000002
29,30,277803.6200000001,210619.51999999984,410801.8097799998
30,31,311958.5400000001,233525.89999999994,428832.8700000001
31,32,304484.7400000002,224641.91000000003,425011.61000000034
32,33,278929.59999999986,199186.30000000022,380143.8207200002
33,34,249233.4000000001,180424.7000000002,361726.3299999998
34,35,223958.00999999946,161864.37999999998,326638.1500000004
35,36,236760.25000000006,165534.52000000005,299686.7199999996
36,37,234704.38,162036.0199999999,297685.2399999998
